 p V(out) V(in) 
 0.901 3.2834 0.901 
 0.902 3.2832 0.902 
 0.903 3.2831 0.903 
 0.904 3.2829 0.904 
 0.905 3.2827 0.905 
 0.906 3.2826 0.906 
 0.907 3.2824 0.907 
 0.908 3.2822 0.908 
 0.909 3.2821 0.909 
 0.91 3.2819 0.91 
 0.911 3.2817 0.911 
 0.912 3.2815 0.912 
 0.913 3.2814 0.913 
 0.914 3.2812 0.914 
 0.915 3.281 0.915 
 0.916 3.2808 0.916 
 0.917 3.2806 0.917 
 0.918 3.2805 0.918 
 0.919 3.2803 0.919 
 0.92 3.2801 0.92 
 0.921 3.2799 0.921 
 0.922 3.2797 0.922 
 0.923 3.2795 0.923 
 0.924 3.2794 0.924 
 0.925 3.2792 0.925 
 0.926 3.279 0.926 
 0.927 3.2788 0.927 
 0.928 3.2786 0.928 
 0.929 3.2784 0.929 
 0.93 3.2782 0.93 
 0.931 3.278 0.931 
 0.932 3.2778 0.932 
 0.933 3.2776 0.933 
 0.934 3.2774 0.934 
 0.935 3.2772 0.935 
 0.936 3.277 0.936 
 0.937 3.2768 0.937 
 0.938 3.2766 0.938 
 0.939 3.2764 0.939 
 0.94 3.2762 0.94 
 0.941 3.276 0.941 
 0.942 3.2758 0.942 
 0.943 3.2756 0.943 
 0.944 3.2754 0.944 
 0.945 3.2752 0.945 
 0.946 3.275 0.946 
 0.947 3.2748 0.947 
 0.948 3.2746 0.948 
 0.949 3.2744 0.949 
 0.95 3.2741 0.95 
 0.951 3.2739 0.951 
 0.952 3.2737 0.952 
 0.953 3.2735 0.953 
 0.954 3.2733 0.954 
 0.955 3.2731 0.955 
 0.956 3.2728 0.956 
 0.957 3.2726 0.957 
 0.958 3.2724 0.958 
 0.959 3.2722 0.959 
 0.96 3.2719 0.96 
 0.961 3.2717 0.961 
 0.962 3.2715 0.962 
 0.963 3.2713 0.963 
 0.964 3.271 0.964 
 0.965 3.2708 0.965 
 0.966 3.2706 0.966 
 0.967 3.2703 0.967 
 0.968 3.2701 0.968 
 0.969 3.2699 0.969 
 0.97 3.2696 0.97 
 0.971 3.2694 0.971 
 0.972 3.2692 0.972 
 0.973 3.2689 0.973 
 0.974 3.2687 0.974 
 0.975 3.2685 0.975 
